Crm Cd Desc,DATE OCC,Premis Desc,Status Desc,LAT,LON
VEHICLE - STOLEN,2024-03-14T00:00:00Z,PARKING LOT,Invest Cont,34.047,-118.2647
VEHICLE - STOLEN,2024-03-16T00:00:00Z,STREET,Invest Cont,34.0486,-118.2571
VEHICLE - STOLEN,2024-01-13T00:00:00Z,STREET,Invest Cont,34.0452,-118.2569
VEHICLE - STOLEN,2024-02-02T00:00:00Z,STREET,Invest Cont,34.0394,-118.2623
VEHICLE - STOLEN,2024-01-17T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0458,-118.2614
VEHICLE - STOLEN,2024-03-05T00:00:00Z,PARKING LOT,Invest Cont,34.0495,-118.2528
VEHICLE - STOLEN,2024-02-06T00:00:00Z,PARKING LOT,Invest Cont,34.0432,-118.2504
VEHICLE - STOLEN,2024-03-27T00:00:00Z,STREET,Invest Cont,34.0388,-118.2574
VEHICLE - STOLEN,2024-01-15T00:00:00Z,PARKING LOT,Invest Cont,34.0494,-118.2599
VEHICLE - STOLEN,2024-01-08T00:00:00Z,STREET,Invest Cont,34.0645,-118.2432
VEHICLE - STOLEN,2024-01-25T00:00:00Z,STREET,Invest Cont,34.042,-118.2625
VEHICLE - STOLEN,2024-01-05T00:00:00Z,PARKING LOT,Invest Cont,34.0487,-118.2362
VEHICLE - STOLEN,2024-03-05T00:00:00Z,PARKING LOT,Invest Cont,34.0455,-118.2381
VEHICLE - STOLEN,2024-01-24T00:00:00Z,PARKING LOT,Adult Arrest,34.0377,-118.26220000000001
VEHICLE - STOLEN,2024-03-19T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0462,-118.2585
VEHICLE - STOLEN,2024-03-03T00:00:00Z,PARKING LOT,Invest Cont,34.048,-118.2577
VEHICLE - STOLEN,2024-03-28T00:00:00Z,STREET,Invest Cont,34.0405,-118.2567
VEHICLE - STOLEN,2024-01-23T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0388,-118.2677
VEHICLE - STOLEN,2024-03-30T00:00:00Z,STREET,Invest Cont,34.0476,-118.2637
VEHICLE - STOLEN,2024-01-19T00:00:00Z,STREET,Invest Cont,34.0633,-118.2336
VEHICLE - STOLEN,2024-01-20T00:00:00Z,STREET,Invest Cont,34.0426,-118.2528
VEHICLE - STOLEN,2024-01-28T00:00:00Z,STREET,Invest Cont,34.0493,-118.2417
VEHICLE - STOLEN,2024-02-22T00:00:00Z,STREET,Invest Cont,34.0535,-118.2491
